source,target
22,10
10,2
10,23
10,11
10,19
10,16
10,7
10,14
10,9
10,12
10,0
10,3
10,24
10,18
10,1
10,8
10,20
10,17
10,13
10,15
10,21
10,5
10,4
6,10
29,26
26,30
26,28
26,25
26,27
27,26
337,105
136,105
105,307
105,143
105,234
105,366
105,43
105,101
105,280
105,62
105,510
105,412
105,364
105,94
105,77
105,475
105,78
105,207
105,327
105,285
105,242
105,247
105,68
105,52
105,267
105,338
105,310
105,108
105,302
105,286
105,134
105,408
105,419
105,186
105,276
105,411
105,118
105,256
105,409
105,176
105,297
105,356
105,144
105,253
105,397
105,48
105,55
105,402
105,421
105,274
105,113
105,150
105,308
105,443
105,99
105,162
105,500
105,493
105,139
105,428
105,388
105,279
105,437
105,220
105,195
105,293
105,227
105,404
105,72
105,436
105,61
105,31
105,473
105,237
105,194
105,238
105,82
105,520
105,60
105,175
105,182
105,446
105,102
105,442
105,435
105,294
105,132
105,400
105,371
105,270
105,505
105,212
105,381
105,67
105,490
105,206
105,141
105,140
105,46
105,507
105,416
105,319
105,457
105,199
105,223
105,463
105,88
105,451
105,318
105,523
105,334
105,69
105,292
105,93
105,335
105,511
105,225
105,433
105,359
105,503
105,179
105,384
105,369
105,489
105,431
105,358
105,174
105,191
105,152
105,462
105,89
105,87
105,482
105,479
105,106
105,214
105,354
105,81
105,440
105,240
105,110
105,111
105,329
105,95
105,305
105,278
105,485
105,423
105,342
105,311
105,441
105,232
105,325
105,332
105,119
105,296
105,476
105,169
105,322
105,496
105,85
105,387
105,112
105,161
105,210
105,330
105,309
105,288
105,521
105,420
105,215
105,216
105,336
105,275
105,429
105,450
105,300
105,98
105,317
105,352
105,287
105,97
105,166
105,299
105,483
105,178
105,333
105,487
105,90
105,283
105,456
105,518
105,252
105,413
105,401
105,271
105,58
105,107
105,499
105,248
105,306
105,422
105,514
105,50
105,125
105,393
105,331
105,303
105,394
105,425
105,145
105,289
105,217
105,375
105,224
105,522
105,515
105,124
105,229
105,133
105,185
105,466
105,262
105,380
105,47
105,147
105,235
105,198
105,403
105,164
105,170
105,268
105,360
105,444
105,434
105,363
105,54
105,372
105,257
105,445
105,516
105,241
105,222
105,263
105,484
105,114
105,188
105,395
105,200
105,249
105,326
105,53
105,320
105,312
105,459
105,168
105,379
105,32
105,172
105,340
105,453
105,314
105,458
105,374
105,491
105,465
105,148
105,230
105,273
105,406
105,350
105,100
105,313
105,196
105,486
105,142
105,70
105,477
105,295
105,86
105,92
105,467
105,368
105,468
105,410
105,57
105,471
105,498
105,418
105,208
105,259
105,474
105,91
105,171
105,121
105,430
105,236
105,494
105,165
105,137
105,120
105,414
105,122
105,261
105,45
105,65
105,376
105,265
105,154
105,233
105,448
105,298
105,347
105,390
105,348
105,160
105,512
105,56
105,382
105,258
105,383
105,211
105,184
105,190
105,495
105,33
105,163
105,513
105,361
105,157
105,344
105,316
105,149
105,131
105,49
105,504
105,424
105,432
105,128
105,321
105,75
105,343
105,245
105,250
105,193
281,105
123,105
167,105
391,105
502,105
405,105
389,105
396,105
438,105
282,105
323,105
357,105
478,105
226,105
40,105
228,105
156,105
115,105
453,105
246,105
204,105
355,105
266,105
469,105
290,105
129,105
269,105
38,105
201,105
44,105
312,105
385,105
501,105
213,105
439,105
277,105
497,105
151,105
449,105
447,105
73,105
158,105
464,105
291,105
180,105
83,105
328,105
454,105
192,105
508,105
398,105
155,105
255,105
41,105
362,105
455,105
173,105
79,105
460,105
183,105
197,105
243,105
378,105
284,105
219,105
231,105
239,105
314,105
509,105
519,105
59,105
71,105
74,105
365,105
76,105
324,105
35,105
315,105
181,105
130,105
64,105
264,105
103,105
138,105
96,105
351,105
135,105
481,105
146,105
126,105
109,105
205,105
367,105
399,105
177,105
470,105
80,105
373,105
218,105
417,105
353,105
346,105
260,105
209,105
480,105
104,105
339,105
221,105
254,105
66,105
51,105
36,105
244,105
517,105
189,105
187,105
63,105
272,105
488,105
116,105
84,105
407,105
349,105
345,105
127,105
386,105
159,105
506,105
37,105
426,105
427,105
415,105
42,105
202,105
492,105
203,105
341,105
251,105
301,105
392,105
39,105
452,105
370,105
153,105
377,105
472,105
117,105
461,105
34,105
304,105
527,526
526,525
526,524
528,526
532,530
532,529
532,533
532,531
614,595
567,595
618,595
539,595
536,595
549,595
619,595
582,595
576,595
620,595
562,595
572,595
542,595
588,595
613,595
566,595
544,595
540,595
548,595
585,595
612,595
587,595
547,595
600,595
589,595
616,595
611,595
557,595
559,595
617,595
565,595
594,595
578,595
551,595
601,595
555,595
538,595
552,595
553,595
596,595
597,595
569,595
615,595
564,595
577,595
621,595
606,595
563,595
592,595
550,595
610,595
556,595
571,595
603,595
568,595
541,595
608,595
602,595
598,595
579,595
604,595
545,595
543,595
591,595
607,595
573,595
586,595
593,595
581,595
580,595
599,595
534,595
605,595
560,595
535,595
537,595
590,595
570,595
574,595
558,595
561,595
583,595
595,609
595,575
595,554
595,546
584,595
623,622
624,625
625,626
668,675
631,675
676,675
661,675
654,675
634,675
640,675
658,675
681,675
652,675
657,675
628,675
636,675
641,675
627,675
638,675
677,675
645,675
665,675
662,675
646,675
670,675
666,675
648,675
642,675
635,675
630,675
644,675
633,675
672,675
639,675
680,675
673,675
649,675
655,675
664,675
647,675
632,675
629,675
667,675
650,675
643,675
669,675
656,675
637,675
663,675
653,675
659,675
679,675
651,675
674,675
671,675
660,675
675,678
683,682
684,686
684,687
684,685
706,696
698,696
692,696
688,696
695,696
701,696
696,702
696,710
697,696
689,696
704,696
714,696
703,696
708,696
709,696
699,696
713,696
693,696
715,696
690,696
712,696
691,696
694,696
707,696
711,696
700,696
705,696
717,716
719,718
721,724
721,720
721,725
721,722
721,723
728,726
728,727
728,729
730,728
736,741
732,741
737,741
745,741
731,741
739,741
738,741
746,741
735,741
740,741
741,742
741,743
741,734
741,744
741,733
747,741
818,766
779,766
750,766
809,766
760,766
752,766
803,766
786,766
820,766
814,766
789,766
812,766
822,766
828,766
775,766
762,766
798,766
756,766
770,766
754,766
748,766
758,766
768,766
810,766
816,766
823,766
782,766
769,766
799,766
819,766
792,766
777,766
764,766
757,766
824,766
802,766
817,766
765,766
771,766
796,766
793,766
806,766
755,766
788,766
763,766
821,766
751,766
805,766
807,766
811,766
800,766
804,766
797,766
772,766
787,766
794,766
784,766
815,766
826,766
781,766
761,766
808,766
801,766
785,766
813,766
773,766
766,759
766,753
766,790
766,825
766,778
783,766
749,766
776,766
780,766
774,766
795,766
767,766
791,766
827,766
1366,1220
1220,1366
1220,1202
1220,1255
1220,1104
1220,965
1220,836
1220,1211
1220,912
1220,1103
1220,966
1220,1123
1220,994
1220,1013
1220,1079
1220,1106
1220,1286
1220,886
1220,1237
1220,1000
1220,1298
1220,930
1220,1231
1220,940
1220,1018
1220,846
1220,1266
1220,1050
1220,917
1220,948
1220,875
1220,880
1220,1344
1220,1270
1220,1006
1220,1016
1220,1133
1220,1272
1220,1189
1220,1244
1220,1058
1220,1184
1220,925
1220,1218
1220,991
1220,1111
1220,1038
1220,1120
1220,1190
1220,1073
1220,1341
1220,924
1220,1224
1220,1284
1220,1002
1220,1131
1220,1206
1220,976
1220,1096
1220,950
1220,1281
1220,1023
1220,959
1220,1095
1220,1065
1220,943
1220,1048
1220,1062
1220,1158
1220,1259
1220,951
1220,1354
1220,1254
1220,1122
1220,1021
1220,1076
1220,1066
1220,1229
1220,873
1220,997
1220,995
1220,1339
1220,1283
1220,1183
1220,1010
1220,881
1220,1331
1220,1187
1220,1159
1220,919
1220,862
1220,1049
1220,1260
1220,1326
1220,1279
1220,1210
1220,1067
1220,1138
1220,1248
1220,1252
1220,1170
1220,1289
1220,1043
1220,1195
1220,1299
1220,902
1220,1064
1220,1336
1220,1295
1220,1054
1220,1007
1220,1300
1220,1136
1220,847
1220,1200
1220,1140
1220,1197
1220,909
1220,1194
1220,1068
1220,944
1220,1151
1220,901
1220,1047
1220,1020
1220,1107
1220,1267
1220,1287
1220,1166
1220,1112
1220,1115
1220,870
1220,1365
1220,1215
1220,1139
1220,1008
1220,935
1220,952
1220,1135
1220,967
1220,918
1220,1348
1220,1044
1220,1080
1220,1358
1220,1328
1220,1057
1220,979
1220,1116
1220,938
1220,1148
1220,1309
1220,1129
1220,1302
1220,878
1220,874
1220,1146
1220,1074
1220,1205
1220,1034
1220,1360
1220,833
1220,1256
1220,1338
1220,839
1220,1263
1220,1005
1220,1041
1220,1167
1220,1110
1220,1172
1220,1126
1220,1109
1220,1280
1220,844
1220,1225
1220,1101
1220,1313
1220,1056
1220,968
1220,1296
1220,840
1220,1321
1220,889
1220,1028
1220,926
1220,999
1220,1262
1220,1294
1220,973
1220,1198
1220,1356
1220,1177
1220,1181
1220,877
1220,885
1220,1278
1220,1153
1220,1234
1220,904
1220,977
1220,1060
1220,906
1220,1310
1220,985
1220,1117
1220,1301
1220,1081
1220,903
1220,1324
1220,1015
1220,1078
1220,1154
1220,1141
1220,1176
1220,1305
1220,1264
1220,1032
1220,928
1220,923
1220,1180
1220,1162
1220,1357
1220,1213
1220,1071
1220,1329
1220,888
1220,955
1220,1027
1220,1191
1220,1317
1220,1152
1220,1352
1220,1199
1220,882
1220,1315
1220,1092
1220,869
1220,1350
1220,1083
1220,957
1220,1084
1220,964
1220,931
1220,1188
1220,879
1220,907
1220,1097
1220,960
1220,984
1220,1268
1220,1217
1220,1227
1220,993
1220,1312
1220,1265
1220,895
1220,1325
1220,899
1220,1214
1220,892
1220,936
1220,1029
1220,853
1220,1212
1220,1089
1220,1228
1220,1351
1220,859
1220,860
1220,1241
1220,1242
1220,1033
1220,1091
1018,1220
986,1220
940,1220
1236,1220
1333,1220
1303,1220
1239,1220
930,1220
1364,1220
911,1220
914,1220
1104,1220
965,1220
1063,1220
1361,1220
836,1220
1211,1220
1103,1220
912,1220
966,1220
1123,1220
994,1220
1013,1220
1286,1220
858,1220
1000,1220
1106,1220
1079,1220
992,1220
1173,1220
1121,1220
834,1220
1030,1220
1100,1220
1186,1220
1237,1220
1298,1220
886,1220
1231,1220
846,1220
962,1220
1031,1220
1113,1220
1157,1220
1266,1220
1050,1220
917,1220
875,1220
948,1220
880,1220
1344,1220
1168,1220
1270,1220
1201,1220
1006,1220
1016,1220
1133,1220
1272,1220
1087,1220
1019,1220
1244,1220
1189,1220
1058,1220
1184,1220
925,1220
1218,1220
1111,1220
991,1220
1038,1220
1120,1220
1190,1220
1073,1220
896,1220
1341,1220
924,1220
929,1220
887,1220
1224,1220
1219,1220
915,1220
852,1220
958,1220
1221,1220
1174,1220
1163,1220
1284,1220
857,1220
1002,1220
1206,1220
976,1220
1096,1220
1052,1220
980,1220
950,1220
1235,1220
1281,1220
1023,1220
959,1220
1095,1220
1065,1220
943,1220
1362,1220
1203,1220
1251,1220
1040,1220
1353,1220
1193,1220
1048,1220
1158,1220
1062,1220
1090,1220
951,1220
1012,1220
946,1220
1259,1220
1354,1220
1254,1220
1122,1220
1076,1220
1021,1220
1045,1220
1039,1220
1003,1220
1066,1220
1229,1220
983,1220
873,1220
997,1220
1340,1220
830,1220
831,1220
953,1220
995,1220
868,1220
1169,1220
1339,1220
1185,1220
1269,1220
1283,1220
1014,1220
963,1220
1183,1220
1131,1220
1010,1220
881,1220
861,1220
1216,1220
1178,1220
1331,1220
842,1220
1187,1220
1159,1220
1128,1220
1253,1220
919,1220
862,1220
