source,target
54,97
97,130
97,123
97,53
97,142
97,33
97,80
97,2
97,131
97,137
97,16
97,98
97,66
97,24
97,92
97,40
97,52
97,147
97,126
97,42
97,17
97,91
97,39
97,115
97,124
97,41
97,55
97,35
97,43
97,70
97,72
97,56
97,67
97,46
97,8
142,97
78,97
93,97
99,97
0,97
27,97
111,97
108,97
135,97
117,97
116,97
87,97
48,97
47,97
85,97
29,97
25,97
4,97
19,97
81,97
11,97
38,97
132,97
120,97
136,97
13,97
83,97
140,97
143,97
100,97
113,97
89,97
22,97
77,97
71,97
18,97
61,97
37,97
59,97
118,97
20,97
105,97
36,97
95,97
102,97
62,97
134,97
60,97
1,97
6,97
7,97
109,97
79,97
114,97
127,97
125,97
50,97
32,97
5,97
86,97
68,97
31,97
101,97
30,97
122,97
128,97
90,97
84,97
148,97
69,97
63,97
94,97
129,97
49,97
26,97
106,97
64,97
3,97
82,97
57,97
14,97
10,97
15,97
76,97
141,97
73,97
12,97
96,97
145,97
21,97
34,97
138,97
104,97
75,97
74,97
51,97
144,97
28,97
107,97
146,97
112,97
44,97
133,97
119,97
65,97
110,97
88,97
58,97
139,97
23,97
121,97
9,97
45,97
103,97
1031,654
645,654
654,317
654,1125
654,338
654,183
654,448
654,836
654,591
654,1132
654,430
654,898
654,203
654,393
654,507
654,623
654,191
654,761
654,1016
654,263
654,499
654,667
654,1173
654,1140
654,658
654,717
654,288
654,1006
654,559
654,782
654,961
654,1052
654,566
654,213
654,792
654,860
654,1077
654,679
654,738
654,668
654,708
654,597
654,562
654,153
654,790
654,663
654,795
654,680
654,694
654,1137
654,599
654,1022
654,938
654,711
654,681
654,847
654,1120
654,234
654,444
654,1073
654,432
654,328
654,312
654,179
654,281
654,1106
654,411
654,730
654,520
654,494
654,945
654,1157
654,522
654,290
654,709
654,883
654,703
654,930
654,684
654,812
654,685
654,479
654,366
654,1141
654,451
654,1017
654,972
654,563
654,508
654,947
654,297
654,731
654,304
654,314
654,765
654,976
654,363
654,610
654,280
654,967
654,1093
654,1085
654,560
654,611
654,846
654,261
654,306
654,892
654,1111
654,450
654,438
654,770
654,1072
654,1095
654,164
654,965
654,459
654,660
654,531
654,923
654,250
654,445
654,404
654,195
654,1086
654,869
654,985
654,1063
654,549
654,530
654,399
654,1128
654,158
654,676
654,867
654,422
654,895
654,217
654,901
654,958
654,834
654,899
654,646
654,1041
654,441
654,702
654,425
654,230
654,733
654,639
654,535
654,1078
654,874
654,613
654,369
654,287
654,909
654,524
654,626
654,1092
654,455
654,669
654,210
654,926
654,1048
654,412
654,189
654,152
654,621
654,878
654,904
654,1145
654,735
654,863
654,272
654,888
654,257
654,1042
654,1026
654,799
654,151
654,1097
654,351
654,159
654,933
654,1008
654,374
654,619
654,693
654,949
654,547
654,517
654,948
654,197
654,1123
654,424
654,991
654,771
654,554
654,178
654,534
654,783
654,816
654,514
654,318
654,387
654,1158
654,1099
654,537
654,912
654,193
654,724
654,595
654,981
654,845
654,384
654,490
654,803
654,1020
654,228
654,877
654,725
654,360
654,235
654,635
654,815
654,1152
654,423
654,1163
654,748
654,1091
654,1155
654,854
654,521
654,655
654,686
654,975
654,321
654,785
654,198
654,211
654,842
654,166
654,472
654,172
654,540
654,987
654,1164
654,449
654,1118
654,994
654,763
654,229
654,1139
654,819
654,331
654,1060
654,220
654,1046
654,830
654,394
654,495
654,176
654,1059
654,825
654,200
654,712
654,539
654,911
654,545
654,503
654,165
654,841
654,357
654,1043
654,285
654,984
654,1136
654,340
654,683
654,157
654,1107
654,959
654,345
654,884
654,928
654,1000
654,572
654,1035
654,891
654,406
654,968
654,1069
654,1081
654,592
654,532
654,1038
654,821
654,389
654,1162
654,800
654,1101
654,204
654,973
654,1083
654,656
654,446
654,1084
654,1005
654,365
654,258
654,980
654,920
654,915
654,995
654,714
654,726
654,364
654,690
654,1012
654,207
654,293
654,196
654,820
654,673
654,1047
654,236
654,931
654,418
654,1065
654,373
654,751
654,897
654,954
654,275
654,927
654,826
654,253
654,299
654,743
654,284
654,778
654,434
654,232
654,583
654,719
654,1146
654,744
654,935
654,431
654,437
654,802
654,1074
654,436
654,177
654,478
654,163
654,921
654,336
654,804
654,865
654,1116
654,1034
654,319
654,1175
654,231
654,896
654,533
654,474
654,946
654,977
654,410
654,772
654,371
654,264
654,602
654,791
654,426
654,608
654,456
654,344
654,564
654,956
654,580
654,551
654,1100
654,1023
654,333
654,664
654,397
654,934
654,223
654,886
654,1058
654,614
654,149
654,354
654,343
654,695
654,570
654,670
654,590
654,970
654,308
654,671
654,219
654,251
654,600
654,270
654,1149
654,334
654,937
654,675
654,1113
654,185
654,1024
654,162
654,657
654,1013
654,378
654,222
654,650
654,640
654,630
654,872
654,1159
654,254
654,636
654,500
654,458
654,844
654,180
654,186
654,496
654,352
654,1166
654,1080
654,295
654,240
654,612
654,809
654,833
654,1147
654,942
654,1151
654,1049
654,571
654,831
654,541
654,963
654,856
654,805
654,955
654,910
654,167
654,890
654,767
654,643
654,529
654,617
654,1061
654,348
654,249
654,887
654,747
654,828
654,427
654,648
654,620
654,704
654,764
654,382
654,385
654,837
654,962
654,607
654,1057
654,561
654,749
654,239
654,705
654,1050
654,1076
654,237
654,616
654,653
654,754
654,574
654,715
654,376
654,206
654,870
654,606
654,689
654,1174
654,659
654,330
654,585
654,498
654,688
654,215
654,238
654,296
654,309
654,861
654,739
654,362
654,244
654,421
654,512
654,734
654,661
654,225
654,1108
654,849
654,1027
654,1090
654,467
654,710
654,510
654,876
654,347
654,581
654,527
654,1142
654,1030
